АВС/ DEF;От;До;Емкость;Оператор;Регион
301;3047000;3048999;2000;Ростелеком;Северо - Байкальский |Республика Бурятия
301;3049000;3049999;1000;Байкал Диалог;Новый Уоян |Северо - Байкальский |Республика Бурятия
301;3051000;3052999;2000;Ростелеком;Северобайкальск |Республика Бурятия
301;3056300;3056399;100;Ростелеком;Северобайкальск |Республика Бурятия
301;3141000;3142099;1100;Ростелеком;Баргузинский |Республика Бурятия
301;3142200;3142699;500;Ростелеком;Баргузинский |Республика Бурятия
301;3142800;3143299;500;Ростелеком;Баргузинский |Республика Бурятия
301;3143300;3143499;200;Ростелеком;Баргузинский |Республика Бурятия
301;3190000;3190029;30;Ростелеком;Баргузинский |Республика Бурятия
301;3191000;3192699;1700;Ростелеком;Баргузинский |Республика Бурятия
301;3192800;3192999;200;Ростелеком;Баргузинский |Республика Бурятия
301;3193300;3193399;100;Ростелеком;Баргузинский |Республика Бурятия
301;3194100;3194299;200;Ростелеком;Баргузинский |Республика Бурятия
301;3195100;3195899;800;Ростелеком;Баргузинский |Республика Бурятия
301;3196100;3196299;200;Ростелеком;Баргузинский |Республика Бурятия
301;3197200;3197299;100;Ростелеком;Баргузинский |Республика Бурятия
301;3198300;3198599;300;Ростелеком;Баргузинский |Республика Бурятия
301;3199100;3199199;100;Ростелеком;Баргузинский |Республика Бурятия
301;3242000;3242999;1000;Российские железные дороги;Муйский |Республика Бурятия
301;3243000;3243007;8;Ростелеком;Муйский |Республика Бурятия
301;3245000;3245999;1000;Российские железные дороги;Муйский |Республика Бурятия
301;3254000;3254999;1000;Ростелеком;Муйский |Республика Бурятия
301;3255100;3255619;520;Ростелеком;Муйский |Республика Бурятия
301;3256000;3256049;50;Ростелеком;Муйский |Республика Бурятия
301;3256100;3256349;250;Ростелеком;Муйский |Республика Бурятия
301;3257000;3257023;24;Ростелеком;Муйский |Республика Бурятия
301;3261000;3261999;1000;ВИТОЛ;Северомуйск |Муйский |Республика Бурятия
301;3264300;3264399;100;Ростелеком;Муйский |Республика Бурятия
301;3341000;3343349;2350;Ростелеком;Бичурский |Республика Бурятия
301;3343350;3343385;36;Ростелеком;Бичурский |Республика Бурятия
301;3353100;3353299;200;Ростелеком;Бичурский |Республика Бурятия
301;3354100;3354399;300;Ростелеком;Бичурский |Республика Бурятия
301;3355100;3355299;200;Ростелеком;Бичурский |Республика Бурятия
301;3356200;3356349;150;Ростелеком;Бичурский |Республика Бурятия
301;3357100;3357249;150;Ростелеком;Бичурский |Республика Бурятия
301;3357300;3357399;100;Ростелеком;Бичурский |Республика Бурятия
301;3358100;3358399;300;Ростелеком;Бичурский |Республика Бурятия
301;3358600;3358999;400;Ростелеком;Бичурский |Республика Бурятия
301;3359300;3359749;450;Ростелеком;Бичурский |Республика Бурятия
301;3359800;3359849;50;Ростелеком;Бичурский |Республика Бурятия
301;3359900;3359999;100;Ростелеком;Бичурский |Республика Бурятия
301;3441000;3442999;2000;Ростелеком;Джидинский |Республика Бурятия
301;3443000;3443036;37;Ростелеком;Джидинский |Республика Бурятия
301;3443037;3443136;100;Межрегиональный ТранзитТелеком;Джидинский |Республика Бурятия
301;3444000;3444999;1000;Межрегиональный ТранзитТелеком;Джидинский |Республика Бурятия
301;3493100;3493199;100;Ростелеком;Джидинский |Республика Бурятия
301;3493300;3493399;100;Ростелеком;Джидинский |Республика Бурятия
301;3494100;3494449;350;Ростелеком;Джидинский |Республика Бурятия
301;3495100;3495249;150;Ростелеком;Джидинский |Республика Бурятия
301;3495400;3495599;200;Ростелеком;Джидинский |Республика Бурятия
301;3495610;3495659;50;Ростелеком;Джидинский |Республика Бурятия
301;3495700;3495799;100;Ростелеком;Джидинский |Республика Бурятия
301;3496100;3496399;300;Ростелеком;Джидинский |Республика Бурятия
301;3497400;3497699;300;Ростелеком;Джидинский |Республика Бурятия
301;3498200;3498449;250;Ростелеком;Джидинский |Республика Бурятия
301;3498500;3498599;100;Ростелеком;Джидинский |Республика Бурятия
301;3499100;3499199;100;Ростелеком;Джидинский |Республика Бурятия
301;3499310;3499359;50;Ростелеком;Джидинский |Республика Бурятия
301;3499510;3499559;50;Ростелеком;Джидинский |Республика Бурятия
301;3521000;3522299;1300;Ростелеком;Еравнинский |Республика Бурятия
301;3522300;3522321;22;Ростелеком;Еравнинский |Республика Бурятия
301;3523300;3523499;200;Ростелеком;Еравнинский |Республика Бурятия
301;3524310;3524359;50;Ростелеком;Еравнинский |Республика Бурятия
301;3528100;3528199;100;Ростелеком;Еравнинский |Республика Бурятия
301;3529160;3529259;100;"Красноярское конструкторское бюро ""Искра""";Баунтовский |Республика Бурятия
301;3529260;3529283;24;Ростелеком;Баунтовский |Республика Бурятия
301;3529310;3529399;90;Ростелеком;Еравнинский |Республика Бурятия
301;3529510;3529659;150;Ростелеком;Еравнинский |Республика Бурятия
301;3531110;3531159;50;Ростелеком;Еравнинский |Республика Бурятия
301;3532100;3532299;200;Ростелеком;Еравнинский |Республика Бурятия
301;3533110;3533159;50;Ростелеком;Еравнинский |Республика Бурятия
301;3534310;3534359;50;Ростелеком;Еравнинский |Республика Бурятия
301;3535100;3535249;150;Ростелеком;Еравнинский |Республика Бурятия
301;3536100;3536259;160;Ростелеком;Еравнинский |Республика Бурятия
301;3537100;3537199;100;Ростелеком;Еравнинский |Республика Бурятия
301;3641000;3643047;2048;Ростелеком;Заиграевский |Республика Бурятия
301;3643048;3643086;39;Ростелеком;Заиграевский |Республика Бурятия
301;3643087;3645086;2000;Межрегиональный ТранзитТелеком;Заиграевский |Республика Бурятия
301;3645100;3645899;800;Ростелеком;Заиграевский |Республика Бурятия
301;3646200;3646699;500;Интерфейс;Заиграевский |Республика Бурятия
301;3650100;3650199;100;Ростелеком;Заиграевский |Республика Бурятия
301;3650700;3650949;250;Ростелеком;Заиграевский |Республика Бурятия
301;3653200;3654049;850;Ростелеком;Заиграевский |Республика Бурятия
301;3655100;3655299;200;Ростелеком;Заиграевский |Республика Бурятия
301;3656000;3656899;900;Ростелеком;Заиграевский |Республика Бурятия
301;3657100;3657449;350;Ростелеком;Заиграевский |Республика Бурятия
301;3658010;3658059;50;Ростелеком;Заиграевский |Республика Бурятия
301;3658100;3658549;450;Ростелеком;Заиграевский |Республика Бурятия
301;3658600;3658699;100;Ростелеком;Заиграевский |Республика Бурятия
301;3658810;3658859;50;Ростелеком;Заиграевский |Республика Бурятия
301;3659200;3659299;100;Ростелеком;Заиграевский |Республика Бурятия
301;3743000;3746109;3110;Ростелеком;Закаменский |Республика Бурятия
301;3746110;3746137;28;Ростелеком;Закаменский |Республика Бурятия
301;3790100;3790399;300;Ростелеком;Закаменский |Республика Бурятия
301;3791100;3791259;160;Ростелеком;Закаменский |Республика Бурятия
301;3791300;3791499;200;Ростелеком;Закаменский |Республика Бурятия
301;3791610;3791659;50;Ростелеком;Закаменский |Республика Бурятия
301;3792100;3792599;500;Ростелеком;Закаменский |Республика Бурятия
301;3792610;3792659;50;Ростелеком;Закаменский |Республика Бурятия
301;3793100;3793299;200;Ростелеком;Закаменский |Республика Бурятия
301;3793400;3793649;250;Ростелеком;Закаменский |Республика Бурятия
301;3793700;3793799;100;Ростелеком;Закаменский |Республика Бурятия
301;3794110;3794159;50;Ростелеком;Закаменский |Республика Бурятия
301;3795100;3795299;200;Ростелеком;Закаменский |Республика Бурятия
301;3796100;3796299;200;Ростелеком;Закаменский |Республика Бурятия
